day,sample_id,group,ndvi_mean,soil_moisture_a0_pct,delta_t_celsius,visual_wilting_observed
1,Control_01,Control,0.7675,75.65,-2.07,False
1,Control_02,Control,0.7828,75.41,-2.25,False
1,Control_03,Control,0.7837,77.92,-2.29,False
1,Control_04,Control,0.7681,74.84,-2.29,False
1,Control_05,Control,0.7636,71.22,-2.54,False
1,Control_06,Control,0.7516,73.47,-2.14,False
1,Control_07,Control,0.7464,72.47,-1.91,False
1,Control_08,Control,0.7566,76.17,-2.48,False
1,Control_09,Control,0.7518,76.28,-2.43,False
1,Control_10,Control,0.7656,74.5,-2.26,False
1,Drought_01,Drought,0.751,78.7,-2.1,False
1,Drought_02,Drought,0.7441,76.65,-2.41,False
1,Drought_03,Drought,0.7631,71.08,-2.43,False
1,Drought_04,Drought,0.763,76.48,-2.06,False
1,Drought_05,Drought,0.7583,74.4,-2.47,False
1,Drought_06,Drought,0.7492,74.08,-1.84,False
1,Drought_07,Drought,0.7652,71.47,-2.02,False
1,Drought_08,Drought,0.7542,73.65,-1.95,False
1,Drought_09,Drought,0.7755,76.86,-2.31,False
1,Drought_10,Drought,0.7554,75.66,-1.86,False
1,Salinity_01,Salinity,0.7428,77.63,-2.28,False
1,Salinity_02,Salinity,0.7321,79.63,-1.66,False
1,Salinity_03,Salinity,0.7489,80.01,-1.91,False
1,Salinity_04,Salinity,0.7403,78.72,-1.62,False
1,Salinity_05,Salinity,0.7495,81.13,-2.65,False
1,Salinity_06,Salinity,0.7623,78.17,-2.07,False
1,Salinity_07,Salinity,0.7514,74.02,-2.05,False
1,Salinity_08,Salinity,0.7554,80.96,-2.13,False
1,Salinity_09,Salinity,0.7379,77.0,-1.77,False
1,Salinity_10,Salinity,0.7549,76.94,-1.87,False
2,Control_01,Control,0.7615,78.42,-2.34,False
2,Control_02,Control,0.7551,75.02,-2.49,False
2,Control_03,Control,0.7644,76.65,-2.2,False
2,Control_04,Control,0.7565,72.46,-2.28,False
2,Control_05,Control,0.7549,73.99,-2.23,False
